,Date,market_risk
1588,2014-12-03,0.4659717381000519
1589,2014-12-04,0.35847845673561096
1590,2014-12-05,0.913333535194397
1591,2014-12-08,0.544243574142456
1592,2014-12-09,0.8695864081382751
1593,2014-12-10,0.763306736946106
1594,2014-12-11,0.6922703385353088
1595,2014-12-12,0.21092048287391663
1596,2014-12-15,0.9611647725105286
1597,2014-12-16,0.09357122331857681
1598,2014-12-17,0.4671173691749573
1599,2014-12-18,0.526516854763031
1600,2014-12-19,0.3034607470035553
1601,2014-12-22,0.7711129784584045
1602,2014-12-23,0.5125645399093628
1603,2014-12-24,0.10714102536439896
1604,2014-12-26,0.2800959646701813
1605,2014-12-29,0.40738099813461304
1606,2014-12-30,0.3434048891067505
1607,2014-12-31,0.8335410356521606
1608,2015-01-02,0.6133660078048706
1609,2015-01-05,0.39755308628082275
1610,2015-01-06,0.4790101647377014
1611,2015-01-07,0.7173147797584534
1612,2015-01-08,0.340037077665329
1613,2015-01-09,0.7451299428939819
1614,2015-01-12,0.0789361521601677
1615,2015-01-13,0.5321990847587585
1616,2015-01-14,0.9129234552383423
1617,2015-01-15,0.9897866249084473
1618,2015-01-16,0.6197509765625
1619,2015-01-20,0.9619811177253723
1620,2015-01-21,0.5018148422241211
1621,2015-01-22,0.23026782274246216
1622,2015-01-23,0.3883122503757477
1623,2015-01-26,0.9047487378120422
1624,2015-01-27,0.7290303111076355
1625,2015-01-28,0.258696585893631
1626,2015-01-29,0.27933448553085327
1627,2015-01-30,0.9558621644973755
1628,2015-02-02,0.9329392313957214
1629,2015-02-03,0.21997396647930145
1630,2015-02-04,0.1356559693813324
1631,2015-02-05,0.7845909595489502
1632,2015-02-06,0.22698277235031128
1633,2015-02-09,0.802403450012207
1634,2015-02-10,0.4587506651878357
1635,2015-02-11,0.7377010583877563
1636,2015-02-12,0.9272240400314331
1637,2015-02-13,0.9340382814407349
1638,2015-02-17,0.8276527523994446
1639,2015-02-18,0.9162458181381226
1640,2015-02-19,0.6830204725265503
1641,2015-02-20,0.17992500960826874
1642,2015-02-23,0.5033501386642456
1643,2015-02-24,0.3336181342601776
1644,2015-02-25,0.7927500009536743
1645,2015-02-26,0.6104172468185425
1646,2015-02-27,0.8971303105354309
1647,2015-03-02,0.3224349021911621
1648,2015-03-03,0.9474173188209534
1649,2015-03-04,0.8008607625961304
1650,2015-03-05,0.9967448711395264
1651,2015-03-06,0.8093730807304382
1652,2015-03-09,0.3652150332927704
1653,2015-03-10,0.6853418946266174
1654,2015-03-11,0.8488787412643433
1655,2015-03-12,0.2591666877269745
1656,2015-03-13,0.4955770671367645
1657,2015-03-16,0.767842173576355
1658,2015-03-17,0.1376325786113739
1659,2015-03-18,0.22629913687705994
1660,2015-03-19,0.9825491905212402
1661,2015-03-20,0.9228715300559998
1662,2015-03-23,0.8612562417984009
1663,2015-03-24,0.5942885875701904
1664,2015-03-25,0.3936375677585602
1665,2015-03-26,0.47609013319015503
1666,2015-03-27,0.671775221824646
1667,2015-03-30,0.12570668756961823
1668,2015-03-31,0.6229174137115479
1669,2015-04-01,0.990880012512207
1670,2015-04-02,0.43504777550697327
1671,2015-04-06,0.7946267127990723
1672,2015-04-07,0.39808550477027893
1673,2015-04-08,0.513982892036438
1674,2015-04-09,0.12785720825195312
1675,2015-04-10,0.09470617026090622
1676,2015-04-13,0.974876344203949
1677,2015-04-14,0.9016904830932617
1678,2015-04-15,0.8635222315788269
1679,2015-04-16,0.2697552740573883
1680,2015-04-17,0.2613021433353424
1681,2015-04-20,0.09218870848417282
1682,2015-04-21,0.19903892278671265
1683,2015-04-22,0.49103406071662903
1684,2015-04-23,0.81279057264328
1685,2015-04-24,0.6501286625862122
1686,2015-04-27,0.4999855160713196
1687,2015-04-28,0.39216363430023193
1688,2015-04-29,0.8659361004829407
1689,2015-04-30,0.02859891764819622
1690,2015-05-01,0.9233913421630859
1691,2015-05-04,0.43184933066368103
1692,2015-05-05,0.5290822386741638
1693,2015-05-06,0.0366574190557003
1694,2015-05-07,0.9715595245361328
1695,2015-05-08,0.20372864603996277
1696,2015-05-11,0.5812123417854309
1697,2015-05-12,0.49864375591278076
1698,2015-05-13,0.20749466121196747
1699,2015-05-14,0.12584078311920166
1700,2015-05-15,0.6135332584381104
1701,2015-05-18,0.11886882036924362
1702,2015-05-19,0.8170568943023682
1703,2015-05-20,0.9715145230293274
1704,2015-05-21,0.6551569104194641
1705,2015-05-22,0.9686407446861267
1706,2015-05-26,0.27865228056907654
1707,2015-05-27,0.952519953250885
1708,2015-05-28,0.569080650806427
1709,2015-05-29,0.4049830138683319
1710,2015-06-01,0.25848257541656494
1711,2015-06-02,0.5516010522842407
1712,2015-06-03,0.29322418570518494
1713,2015-06-04,0.12257418036460876
1714,2015-06-05,0.1635359674692154
1715,2015-06-08,0.5686737895011902
1716,2015-06-09,0.9101581573486328
1717,2015-06-10,0.08600566536188126
1718,2015-06-11,0.46123677492141724
1719,2015-06-12,0.9236376285552979
1720,2015-06-15,0.07092318683862686
1721,2015-06-16,0.2511362135410309
1722,2015-06-17,0.9937518239021301
1723,2015-06-18,0.04084188491106033
1724,2015-06-19,0.8410629630088806
1725,2015-06-22,0.6709896326065063
1726,2015-06-23,0.3311437964439392
1727,2015-06-24,0.44262972474098206
1728,2015-06-25,0.48056933283805847
1729,2015-06-26,0.2335510104894638
1730,2015-06-29,0.35075441002845764
1731,2015-06-30,0.06720370054244995
1732,2015-07-01,0.7273724675178528
1733,2015-07-02,0.9351813793182373
1734,2015-07-06,0.39663276076316833
