Date,Open,High,Low,Close,Volume,14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema50,ema21,ema14,ema5,normVol,true_close
2010-06-29,3.799999952316284,5.0,3.507999897003174,4.777999877929688,93831500.0,,0.0,0.0,,105204473.03869289,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,4.777999877929688
2010-06-30,4.805925907912077,5.802963044908311,4.361333193602385,4.769110926875362,87982611.1111111,0.0,-0.00019943159416602185,-0.00011079533009223436,,77985870.1077596,,,,,-87982611.1111111,66.66666666666656,,,,0.9990781480439956,0.9990905710180963,0.9991010148275072,0.9991535084489502,0.9706691223475935,4.769110926875362
2010-07-01,4.937724951774843,5.382614637676038,4.152617884410865,4.513008564558823,56139751.27334466,0.0,-0.008195834366617305,-0.003424335918832017,,58527383.56480251,,,,,-144122362.38445577,-4.853749299782832,,,,0.9632987817457213,0.9637889948057135,0.9642043799852913,0.9663337990912377,0.7291608468747672,4.513008564558823
2010-07-02,4.71485929334556,4.8793631308761,3.8816501164233776,4.068888363031471,36051818.40303555,0.0,-0.027666686733536672,-0.011636514379097821,,35991596.8694558,,,,,-180174180.78749132,-87.8873436632273,,,,0.8989373372173534,0.9005385900693711,0.9018992990854963,0.9089118802363177,0.5649583720644076,4.068888363031471
2010-07-06,4.2477473933888925,4.304759168055659,3.4140213951164498,3.5155043749698436,34929667.695141315,0.0,-0.05968482573044387,-0.025929800716361636,,8586281.03034091,,,,,-215103848.48263264,-137.19823476802048,,,,0.8145130620017292,0.8178163504371794,0.8206343644327446,0.8352681323697999,0.6263744771193899,3.5155043749698436
2010-07-07,3.617553104591295,3.6673940463085026,3.141807119619445,3.284001022374244,34720524.23206058,0.0,-0.08770941204748084,-0.042675510267037975,,-11803799.00186751,,,,,-249824372.71469322,-127.51237701006178,,,,0.7941114608682,0.7991667098234327,0.8034773904829812,0.8257314164410209,0.6876525285630779,3.284001022374244
2010-07-08,3.364180520116341,3.5611195064423,3.123720908636222,3.4192874671262428,37215838.949165,9.806677703102665,-0.09804238425108736,-0.0566873890186094,,-12871749.048132932,,,,,-212608533.7655282,-93.17878844872152,,,,0.8490997132902155,0.8555839136070311,0.8610686657394121,0.8885589203791928,0.7847758719094697,3.4192874671262428
2010-07-09,3.462885430232724,3.5733945418487556,3.24482955298696,3.4587595145051617,26187510.189994503,12.502779057820135,-0.1015172850574988,-0.06746085606313638,,-16406174.910300352,,,,,-186421023.5755337,-72.64835689029628,,,,0.8754330241746782,0.8828341631102432,0.8890325957048911,0.9190112039363865,0.611706117982952,3.4587595145051617
2010-07-12,3.5455163574008046,3.599790223349954,3.3456983555733646,3.4270633877162777,16322976.086942542,12.187724558590048,-0.10395151994804364,-0.075890380451667,,-26174105.193017796,,,,,-202743999.66247624,-61.75588865417235,,,,0.8814482584475833,0.8895489682232427,0.8962722210324362,0.9277377848026035,0.43720606980483884,3.4270633877162777
2010-07-13,3.501629466098316,3.68312882875609,3.3679951139039113,3.557675802343547,14423314.227357937,21.019754908806718,-0.09743816444475417,-0.08071833491326272,,-29180124.357261747,,,,,-188320685.43511832,-48.854493151089805,,,,0.9236063098974524,0.9321707204507429,0.9391707915245858,0.9702126869400937,0.43999460247992817,3.557675802343547
